ts,clo,e,met,voto,Temperatura_prom,Humedad_prom,Presion_prom,PMV,PPD,Mmod,ePMV
2024-10-30 10:02:58.127,0.97,0.7,1.0,-0.4,23.398480000000003,55.42485583333334,880.6136083333334,0.08,5.1,0.99464,0.041999999999999996
2024-10-30 10:03:42.595,0.6,0.7,1.1,-1.0,23.398480000000003,55.42485583333334,880.6136083333334,-0.36,7.7,1.126532,-0.20299999999999999
2024-10-30 10:03:55.674,0.63,0.7,1.0,1.2,23.398480000000003,55.42485583333334,880.6136083333334,-0.58,12.1,1.03886,-0.322
2024-10-30 10:04:18.802,0.6799999999999999,0.7,1.0,0.0,23.398480000000003,55.42485583333334,880.6136083333334,-0.46,9.5,1.03082,-0.259
2024-10-30 10:04:31.881,0.94,0.7,1.0,0.0,23.398480000000003,55.42485583333334,880.6136083333334,0.03,5.0,0.99799,0.013999999999999999
2024-10-30 10:04:51.519,0.74,0.7,1.0,0.4,23.398480000000003,55.42485583333334,880.6136083333334,-0.33,7.3,1.02211,-0.189
2024-10-30 10:04:54.124,0.61,0.8,1.0,1.0,23.398480000000003,55.42485583333334,880.6136083333334,-0.63,13.3,1.04221,-0.4
2024-10-30 10:05:06.197,0.64,0.7,1.0,-1.0,23.398480000000003,55.42485583333334,880.6136083333334,-0.56,11.5,1.03752,-0.308
2024-10-30 10:05:06.484,0.86,0.7,1.0,0.4,23.398480000000003,55.42485583333334,880.6136083333334,-0.1,5.2,1.0067,-0.063
2024-10-30 10:05:36.944,0.92,0.8,1.0,0.0,23.398480000000003,55.42485583333334,880.6136083333334,-0.0,5.0,1.0,-0.0
2024-10-31 09:55:49.350,0.57,0.7,1.0,0.0,24.93510857142857,56.61971285714286,879.3606,-0.16,5.5,1.01072,-0.091
2024-10-31 09:56:11.886,0.64,0.7,1.0,-0.6,24.93510857142857,56.61971285714286,879.3606,-0.01,5.0,1.00067,-0.006999999999999999
2024-10-31 09:56:13.604,0.59,0.7,1.0,-0.4,24.93510857142857,56.61971285714286,879.3606,-0.11,5.3,1.00737,-0.06999999999999999
2024-10-31 09:56:51.447,0.99,0.7,1.0,0.0,24.93510857142857,56.61971285714286,879.3606,0.55,11.4,0.96315,0.301
2024-10-31 09:57:07.761,0.95,0.7,1.0,-1.6,24.93510857142857,56.61971285714286,879.3606,0.5,10.3,0.9665,0.26599999999999996
2024-10-31 09:57:11.979,0.93,0.7,1.0,0.0,24.93510857142857,56.61971285714286,879.3606,0.47,9.7,0.96851,0.252
2024-10-31 09:57:56.694,1.0100000000000002,0.7,1.0,0.0,24.93510857142857,56.61971285714286,879.3606,0.58,12.0,0.96114,0.308
2024-10-31 09:58:56.308,0.92,0.7,1.0,1.6,24.93510857142857,56.61971285714286,879.3606,0.46,9.4,0.96918,0.24499999999999997
2024-10-31 09:59:37.325,0.77,0.7,1.1,-0.6,24.93510857142857,56.61971285714286,879.3606,0.42,8.8,1.069046,0.259
2024-10-31 09:59:39.357,1.8300000000000003,0.8,1.0,1.6,24.93510857142857,56.61971285714286,879.3606,1.27,39.0,0.91491,0.735
2024-10-31 10:00:12.040,0.38,0.7,1.0,1.0,24.93510857142857,56.61971285714286,879.3606,-0.64,13.6,1.04288,-0.35
2024-10-31 12:01:59.426,1.1,0.7,1.0,1.0,26.39610625,54.98493,877.8755125,1.06,28.9,0.92898,0.595
2024-10-31 12:02:21.239,1.05,0.7,1.0,1.0,26.39610625,54.98493,877.8755125,1.02,26.8,0.9316599999999999,0.567
2024-10-31 12:03:22.587,0.8899999999999999,0.7,1.0,0.0,26.39610625,54.98493,877.8755125,0.84,20.0,0.94372,0.46199999999999997
2024-11-04 12:10:29.192,0.55,0.7,1.1,0.0,27.0197785,52.027792,876.1247900000001,0.7,15.4,1.04841,0.434
2024-11-04 12:10:45.300,0.4499999999999999,0.7,1.0,0.0,27.0197785,52.027792,876.1247900000001,0.35,7.5,0.97655,0.182
2024-11-04 12:11:10.831,0.65,0.7,1.0,0.6,27.0197785,52.027792,876.1247900000001,0.7,15.2,0.9531000000000001,0.371
2024-11-04 12:12:20.920,0.61,0.7,1.1,0.0,27.0197785,52.027792,876.1247900000001,0.79,18.2,1.041777,0.48999999999999994
2024-11-04 12:13:10.179,0.74,0.7,1.0,0.0,27.0197785,52.027792,876.1247900000001,0.82,19.2,0.94506,0.44799999999999995
2024-11-04 12:15:06.727,0.6,0.7,1.1,2.0,27.0197785,52.027792,876.1247900000001,0.78,17.7,1.0425140000000002,0.48299999999999993
2024-11-04 12:18:13.891,0.5,0.7,1.7,0.8,27.0197785,52.027792,876.1247900000001,1.26,38.0,1.5564859999999998,0.7979999999999999
2024-11-05 16:32:44.143,0.44,0.7,1.1,1.2,28.859407272727275,41.49152818181818,871.8011090909091,1.09,30.0,1.019667,0.693
2024-11-05 16:35:33.050,0.47,0.7,1.1,1.6,28.859407272727275,41.49152818181818,871.8011090909091,1.12,31.6,1.0174560000000001,0.714
2024-11-05 16:38:15.570,0.28,0.7,1.1,0.2,28.859407272727275,41.49152818181818,871.8011090909091,0.87,20.9,1.035881,0.5389999999999999
2024-11-05 16:39:45.358,0.38,0.7,1.1,1.8,28.859407272727275,41.49152818181818,871.8011090909091,1.01,26.6,1.025563,0.637
2024-11-06 10:03:39.150,0.59,0.7,1.0,-0.6,25.4776225,52.07178375,877.48574375,0.04,5.0,0.99732,0.020999999999999998
2024-11-06 10:03:45.593,0.52,0.7,1.0,-0.2,25.4776225,52.07178375,877.48574375,-0.11,5.2,1.00737,-0.063
2024-11-06 10:04:16.814,0.94,0.7,1.0,-1.4,25.4776225,52.07178375,877.48574375,0.61,12.7,0.95913,0.32899999999999996
2024-11-06 10:04:18.687,0.75,0.7,1.0,0.6,25.4776225,52.07178375,877.48574375,0.33,7.3,0.97789,0.175
2024-11-06 10:04:30.905,0.97,0.7,1.0,-0.8,25.4776225,52.07178375,877.48574375,0.64,13.7,0.95712,0.35
2024-11-06 10:05:44.259,0.28,0.7,2.6,1.0,25.4776225,52.07178375,877.48574375,1.59,55.9,2.323022,0.9099999999999999
2024-11-06 10:06:25.593,1.08,0.7,1.0,0.6,25.4776225,52.07178375,877.48574375,0.77,17.5,0.94841,0.42
2024-11-06 10:09:25.375,0.44,0.7,1.0,0.0,25.4776225,52.07178375,877.48574375,-0.29,6.8,1.01943,-0.16799999999999998
2024-11-06 14:20:15.418,0.55,0.7,1.0,0.8,30.04196,44.2176605,874.4068,1.57,54.4,0.89481,0.8889999999999999
2024-11-06 14:20:36.735,0.57,0.7,1.0,2.6,30.04196,44.2176605,874.4068,1.58,55.5,0.8941399999999999,0.9029999999999999
2024-11-06 14:21:50.563,0.41,0.7,1.1,0.0,30.04196,44.2176605,874.4068,1.5,51.1,0.98945,0.9659999999999999
2024-11-06 14:24:24.233,0.92,0.7,1.0,1.4,30.04196,44.2176605,874.4068,1.84,68.9,0.8767199999999999,1.085
2024-11-06 14:24:34.136,0.69,0.7,1.0,0.8,30.04196,44.2176605,874.4068,1.68,60.9,0.88744,0.9729999999999999
2024-11-06 14:24:45.553,0.69,0.7,1.0,1.2,30.04196,44.2176605,874.4068,1.68,60.9,0.88744,0.9729999999999999
2024-11-06 14:26:39.142,0.54,0.7,1.0,0.0,30.04196,44.2176605,874.4068,1.56,53.9,0.8954799999999999,0.8819999999999999
2024-11-06 14:28:04.946,0.71,0.7,1.0,2.2,30.04196,44.2176605,874.4068,1.7,61.7,0.8861,0.9869999999999999
2024-11-06 14:28:12.199,0.54,0.7,1.0,0.8,30.04196,44.2176605,874.4068,1.56,53.9,0.8954799999999999,0.8819999999999999
2024-11-06 14:28:12.580,0.53,0.7,1.1,0.0,30.04196,44.2176605,874.4068,1.61,56.7,0.9813430000000001,1.043
2024-11-06 14:34:40.033,0.38,0.7,1.0,1.4,30.04196,44.2176605,874.4068,1.39,45.0,0.90687,0.77
2024-11-12 14:25:52.646,0.13,0.7,1.0,-3.0,27.48772444444445,29.273797222222225,863.3471444444444,-0.45,9.2,1.03015,-0.24499999999999997
2024-11-12 14:37:59.371,0.49,0.7,1.0,1.0,27.48772444444445,29.273797222222225,863.3471444444444,0.39,8.1,0.97387,0.20299999999999999
2024-11-12 14:38:15.379,0.52,0.7,1.0,0.0,27.48772444444445,29.273797222222225,863.3471444444444,0.44,9.0,0.97052,0.23099999999999998
2024-11-12 14:38:42.519,0.4599999999999999,0.7,1.0,0.8,27.48772444444445,29.273797222222225,863.3471444444444,0.33,7.3,0.97789,0.175
2024-11-12 14:38:48.505,0.52,0.7,1.1,-0.2,27.48772444444445,29.273797222222225,863.3471444444444,0.61,12.9,1.0550430000000002,0.378
2024-11-12 14:40:24.406,0.98,0.7,1.0,0.0,27.48772444444445,29.273797222222225,863.3471444444444,1.01,26.5,0.93233,0.567
2024-11-12 14:40:27.791,0.43,0.7,1.0,2.0,27.48772444444445,29.273797222222225,863.3471444444444,0.28,6.6,0.98124,0.147
2024-11-12 14:40:33.584,0.53,0.7,1.1,0.8,27.48772444444445,29.273797222222225,863.3471444444444,0.63,13.3,1.0535690000000002,0.385
2024-11-12 14:42:00.731,0.28,0.7,1.7,0.6,27.48772444444445,29.273797222222225,863.3471444444444,1.02,26.9,1.5838219999999998,0.63
2024-11-12 14:42:11.444,0.36,0.7,1.0,0.0,27.48772444444445,29.273797222222225,863.3471444444444,0.14,5.4,0.99062,0.077
2024-11-13 09:59:21.266,0.84,0.7,1.0,1.2,25.721628125,40.858096875,876.583275,0.45,9.2,0.96985,0.238
2024-11-13 09:59:32.218,0.59,0.7,1.0,-1.4,25.721628125,40.858096875,876.583275,0.03,5.0,0.99799,0.020999999999999998
2024-11-13 10:00:07.098,0.96,0.7,1.0,0.0,25.721628125,40.858096875,876.583275,0.6,12.7,0.9598,0.32899999999999996
2024-11-13 10:00:09.097,0.83,0.7,1.0,0.6,25.721628125,40.858096875,876.583275,0.44,9.0,0.97052,0.23099999999999998
2024-11-13 10:00:29.283,0.92,0.7,1.0,-2.0,25.721628125,40.858096875,876.583275,0.56,11.5,0.96248,0.301
2024-11-13 10:03:51.423,0.97,0.7,1.0,-1.0,25.721628125,40.858096875,876.583275,0.62,13.0,0.95846,0.33599999999999997
2024-11-13 10:04:33.130,0.53,0.7,1.0,-0.4,25.721628125,40.858096875,876.583275,-0.09,5.2,1.00603,-0.055999999999999994
2024-11-13 10:06:11.087,0.4599999999999999,0.7,1.0,0.4,25.721628125,40.858096875,876.583275,-0.25,6.3,1.01675,-0.13999999999999999
2024-11-13 10:13:00.899,0.76,0.7,1.0,-1.4,25.721628125,40.858096875,876.583275,0.33,7.3,0.97789,0.175
2024-11-13 10:17:56.855,0.52,0.7,1.0,0.0,25.80161888888889,40.43561444444444,876.4580777777778,-0.09,5.2,1.00603,-0.049
2024-11-13 10:18:36.285,0.96,0.7,1.1,0.0,25.80161888888889,40.43561444444444,876.4580777777778,0.77,17.4,1.0432510000000002,0.48299999999999993
2024-11-13 10:19:32.251,0.53,0.7,1.0,-1.4,25.80161888888889,40.43561444444444,876.4580777777778,-0.06,5.1,1.00402,-0.034999999999999996
2024-11-13 10:19:33.906,1.1900000000000002,0.7,1.0,0.0,25.80161888888889,40.43561444444444,876.4580777777778,0.86,20.8,0.94238,0.48299999999999993
2024-11-13 10:19:49.427,0.55,0.7,1.0,0.0,25.80161888888889,40.43561444444444,876.4580777777778,-0.02,5.0,1.00134,-0.013999999999999999
2024-11-13 10:20:00.452,1.02,0.7,1.0,0.0,25.80161888888889,40.43561444444444,876.4580777777778,0.69,15.1,0.95377,0.378
2024-11-13 10:20:09.850,0.55,0.7,1.0,-0.6,25.80161888888889,40.43561444444444,876.4580777777778,-0.02,5.0,1.00134,-0.013999999999999999
2024-11-13 10:20:24.755,0.72,0.7,1.0,0.0,25.80161888888889,40.43561444444444,876.4580777777778,0.29,6.8,0.98057,0.154
2024-11-13 10:21:13.497,0.63,0.7,1.0,-0.2,25.80161888888889,40.43561444444444,876.4580777777778,0.14,5.4,0.99062,0.06999999999999999
2024-11-13 10:21:32.267,0.25,0.7,1.0,0.0,25.80161888888889,40.43561444444444,876.4580777777778,-0.79,18.2,1.05293,-0.427
2024-11-13 10:21:38.103,0.53,0.7,1.0,-0.2,25.80161888888889,40.43561444444444,876.4580777777778,-0.06,5.1,1.00402,-0.034999999999999996
2024-11-13 10:21:39.167,0.78,0.7,1.0,0.0,25.80161888888889,40.43561444444444,876.4580777777778,0.38,8.1,0.97454,0.20299999999999999
2024-11-13 10:21:46.997,0.64,0.7,1.0,0.8,25.80161888888889,40.43561444444444,876.4580777777778,0.15,5.5,0.98995,0.077
2024-11-13 10:22:24.533,1.87,0.7,1.0,1.0,25.80161888888889,40.43561444444444,876.4580777777778,1.33,42.0,0.91089,0.77
2024-11-13 10:22:56.855,0.38,0.7,1.0,0.6,25.80161888888889,40.43561444444444,876.4580777777778,-0.41,8.6,1.02747,-0.23099999999999998
2024-11-14 11:58:35.763,0.93,0.7,1.0,-1.2,24.7043525,35.2091025,878.3196833333333,0.23,6.1,0.98459,0.119
2024-11-14 12:00:18.345,0.9,0.7,1.0,0.0,24.7043525,35.2091025,878.3196833333333,0.19,5.7,0.98727,0.098
2024-11-14 12:00:38.159,0.82,0.7,1.0,-2.4,24.7043525,35.2091025,878.3196833333333,0.06,5.1,0.99598,0.034999999999999996
2024-11-14 12:00:47.006,0.26,0.7,1.7,0.8,24.7043525,35.2091025,878.3196833333333,0.31,7.0,1.6646910000000001,0.182
2024-11-14 12:01:18.574,0.63,0.7,1.0,0.0,24.7043525,35.2091025,878.3196833333333,-0.29,6.7,1.01943,-0.161
2024-11-14 12:05:18.169,0.24,0.7,1.2,0.0,24.7043525,35.2091025,878.3196833333333,-0.69,14.9,1.255476,-0.378
2024-11-14 12:14:46.245,0.38,0.7,1.0,-0.6,25.359074444444445,31.426964444444447,878.03015,-0.68,14.6,1.04556,-0.371
2024-11-14 12:15:45.834,0.64,0.8,1.0,0.0,25.359074444444445,31.426964444444447,878.03015,-0.08,5.1,1.00536,-0.048
2024-11-14 12:15:56.388,0.58,0.7,1.0,-0.4,25.359074444444445,31.426964444444447,878.03015,-0.2,5.8,1.0134,-0.11199999999999999
2024-11-14 12:16:14.031,0.51,0.7,1.0,-1.0,25.359074444444445,31.426964444444447,878.03015,-0.35,7.6,1.02345,-0.20299999999999999
2024-11-14 12:16:57.486,0.94,0.7,1.0,-1.0,25.359074444444445,31.426964444444447,878.03015,0.4,8.3,0.9732,0.21
2024-11-14 12:19:48.551,0.74,0.7,1.0,-1.0,25.359074444444445,31.426964444444447,878.03015,0.1,5.2,0.9933,0.055999999999999994
2024-11-14 12:20:04.377,0.33,0.7,1.2,0.4,25.359074444444445,31.426964444444447,878.03015,-0.24,6.2,1.2192960000000002,-0.13299999999999998
2024-11-20 09:56:40.668,0.78,0.7,1.0,-0.6,25.30522,53.420015,880.8836583333333,0.34,7.4,0.97722,0.175
2024-11-20 09:56:42.283,0.86,0.7,1.1,0.4,25.30522,53.420015,880.8836583333333,0.63,13.2,1.0535690000000002,0.385
2024-11-20 09:56:43.270,1.01,0.7,1.1,0.0,25.30522,53.420015,880.8836583333333,0.8,18.4,1.0410400000000002,0.504
2024-11-20 09:56:49.630,0.3,0.7,1.0,-0.6,25.30522,53.420015,880.8836583333333,-0.75,16.8,1.05025,-0.40599999999999997
2024-11-20 09:56:52.536,0.56,0.7,1.0,-0.4,25.30522,53.420015,880.8836583333333,-0.07,5.1,1.00469,-0.041999999999999996
2024-11-20 09:57:12.952,0.74,0.7,1.0,0.0,25.30522,53.420015,880.8836583333333,0.27,6.6,0.98191,0.13999999999999999
2024-11-20 09:57:13.659,0.7,0.7,1.0,0.0,25.30522,53.420015,880.8836583333333,0.2,5.9,0.9866,0.105
2024-11-20 09:57:27.122,0.7899999999999999,0.7,1.0,-0.4,25.30522,53.420015,880.8836583333333,0.35,7.6,0.97655,0.189
2024-11-20 09:58:50.176,0.59,0.7,1.0,-0.4,25.30522,53.420015,880.8836583333333,-0.01,5.0,1.00067,-0.006999999999999999
2024-11-20 09:59:02.611,0.27,0.7,1.7,1.0,25.30522,53.420015,880.8836583333333,0.58,12.2,1.633938,0.35
2024-11-20 10:14:40.338,0.7999999999999999,0.7,1.0,0.4,24.975535,57.582175,855.3921250000001,0.3,6.9,0.9799,0.161
2024-11-20 10:14:40.970,0.94,0.7,1.1,0.0,24.975535,57.582175,855.3921250000001,0.67,14.4,1.050621,0.413
2024-11-20 10:14:46.079,0.51,0.7,1.1,0.0,24.975535,57.582175,855.3921250000001,-0.02,5.0,1.101474,-0.013999999999999999
2024-11-20 10:14:51.958,0.59,0.7,1.0,-0.2,24.975535,57.582175,855.3921250000001,-0.09,5.2,1.00603,-0.055999999999999994
2024-11-20 10:15:17.552,0.33,0.7,1.1,0.4,24.975535,57.582175,855.3921250000001,-0.45,9.2,1.133165,-0.24499999999999997
2024-11-20 10:15:58.380,0.95,0.7,1.0,-1.0,24.975535,57.582175,855.3921250000001,0.52,10.7,0.96516,0.27999999999999997
2024-11-20 10:16:11.961,0.53,0.7,1.0,1.0,24.975535,57.582175,855.3921250000001,-0.23,6.1,1.01541,-0.13299999999999998
2024-11-20 10:16:12.396,0.74,0.7,1.0,-0.8,24.975535,57.582175,855.3921250000001,0.2,5.8,0.9866,0.105
2024-11-20 10:16:24.922,0.5,0.7,1.0,-1.2,24.975535,57.582175,855.3921250000001,-0.3,6.9,1.0201,-0.175
2024-11-20 10:16:33.507,0.75,0.7,1.0,0.0,24.975535,57.582175,855.3921250000001,0.22,6.0,0.98526,0.11199999999999999
2024-11-20 10:16:38.153,0.6799999999999999,0.7,1.1,0.0,24.975535,57.582175,855.3921250000001,0.3,6.9,1.07789,0.182
2024-11-20 10:16:49.015,0.58,0.7,1.1,0.6,24.975535,57.582175,855.3921250000001,0.12,5.3,1.091156,0.06999999999999999
2024-11-20 10:17:30.039,0.47,0.7,2.6,2.0,24.975535,57.582175,855.3921250000001,1.68,60.8,2.307344,0.9729999999999999
